title,type,year,choreographer,aka,akac,label
Omer Lecha Todah,Circle,2019,Chana Shuvaly,Omer Lecha Todah,Chana Shuvaly,Omer Lecha Todah
Omrim Yeshna Erets,Circle,1978,Amir Sela,Omrim Yeshna Erets,Amir Sela,"Omrim Yeshna Erets (Circle, Amir Sela)"
Omrim Yeshna Erets,Circle,1999,Nir Dor,Omrim Yeshna Erets,Nir Dor,"Omrim Yeshna Erets (Circle, Nir Dor)"
Omrim Yeshna Erets,Circle,2002,Gadi Bitton,Omrim Yeshna Erets,Gadi Bitton,"Omrim Yeshna Erets (Circle, Gadi Bitton)"
Onat Hatsiporim,Circle,2009,Nurit Melamed,Onat Hatsiporim,Nurit Melamed,Onat Hatsiporim
One Day (Waving Flag),Line,2010,Orly Setareh,One Day Waving Flag,Orly Setareh,One Day (Waving Flag)
Oneg Shabbat,Circle,1978,Bentzi Tiram,Oneg Shabbat,Bentzi Tiram,"Oneg Shabbat (Circle, Bentzi Tiram)"
Oneg Shabbat,Circle,1978,Dani Dassa,Oneg Shabbat,Dani Dassa,"Oneg Shabbat (Circle, Dani Dassa)"
Oneg Shabbat (Shir Shabat),Circle,1976,Moshiko Halevy,Oneg Shabbat Shir Shabat,Moshiko Halevy,Oneg Shabbat (Shir Shabat)
Oniya Mul Hachof,,2008, ,Oniya Mul Hachof, ,Oniya Mul Hachof
Onot,Circle,1997,Israel Shiker,Onot,Israel Shiker,Onot
Op,Partner,2011,Mitch Ginsburgh,Op,Mitch Ginsburgh,Op
Opa (Hopa),Circle,2010,Gadi Bitton,Opa Hopa,Gadi Bitton,Opa (Hopa)
Opa Tsupa,Circle,2015,Ilan Swisa,Opa Tsupa,Ilan Swisa,Opa Tsupa
Or,Circle,1988,Shlomo Maman,Or,Shlomo Maman,Or
Or Ariel,Circle,1993,Maurice Perez,Or Ariel,Maurice Perez,Or Ariel
Or Bachadarim,Circle,1900,Yo'av Ashriel,Or Bachadarim,Yoav Ashriel,Or Bachadarim
Or Chadash,Partner,1999,Victor Gabbay,Or Chadash,Victor Gabbay,Or Chadash
Or Chadash (Tahapachot),Circle,2001,Gadi Bitton,Or Chadash Tahapachot,Gadi Bitton,Or Chadash (Tahapachot)
Or Gadol,Circle,2018,Nurit Melamed,Or Gadol,Nurit Melamed,Or Gadol (Circle)
Or Gadol,Line,2010,Sara Kletter,Or Gadol,Sara Kletter,Or Gadol (Line)
Or Ha'ahava,Partner,1999,Oren Halaly,Or Haahava,Oren Halaly,"Or Ha'ahava (Partner, Oren Halaly)"
Or Ha'ahava,Partner,1999,Ran Hirsh,Or Haahava,Ran Hirsh,"Or Ha'ahava (Partner, Ran Hirsh)"
Or Hachaim,Circle,2017,Nurit Melamed,Or Hachaim,Nurit Melamed,Or Hachaim
Or Haganuz,Circle,1999,Shmulik Gov Ari,Or Haganuz,Shmulik Gov Ari,Or Haganuz (Circle)
Or Haganuz,Partner,2004,Matti Goldschmidt,Or Haganuz,Matti Goldschmidt,Or Haganuz (Partner)
Or Lagoyim,Circle,2003,Dudu Barzilay,Or Lagoyim,Dudu Barzilay,Or Lagoyim
Or Leili,Circle,1994,Sefi Aviv,Or Leili,Sefi Aviv,Or Leili
Or Leili (Dai Lake'ev),Circle,1994,Shlomo Maman,Or Leili Dai Lakeev,Shlomo Maman,Or Leili (Dai Lake'ev)
Or Le'inbar,Circle,2016,Eran Bitton,Or Leinbar,Eran Bitton,Or Le'inbar
Or LeIsrael,Circle,2015,Israel Shiker,Or LeIsrael,Israel Shiker,Or LeIsrael
Or Panas,Circle,2017,Itzik Ben Dahan,Or Panas,Itzik Ben Dahan,Or Panas
Or Shivat Hayamim,Circle,1998,Gadi Bitton,Or Shivat Hayamim,Gadi Bitton,Or Shivat Hayamim
Or Sovev,Circle,1995,Ya'ir Harel,Or Sovev,Yair Harel,Or Sovev
Or Veyerushalayim,Circle,1980,Shoshana Kopelevitch,Or Veyerushalayim,Shoshana Kopelevitch,Or Veyerushalayim (Circle)
Or Veyerushalayim,CircleKids,2015,Adi Atiram,Or Veyerushalayim,Adi Atiram,Or Veyerushalayim (CircleKids)
Or Yare'ach Meshuga,Circle,2010,Elad Shtamer,Or Yareach Meshuga,Elad Shtamer,Or Yare'ach Meshuga
Or Yekarot,Circle,2011,Yossi Azani,Or Yekarot,Yossi Azani,Or Yekarot
Oranim (Hora),Circle,1998,Oren Shmuel,Oranim Hora,Oren Shmuel,Oranim (Hora)
Orcha Yafati,Partner,1990,Shlomo Bachar,Orcha Yafati,Shlomo Bachar,Orcha Yafati
Orchot Midbar,Circle,1998,Shlomo Maman,Orchot Midbar,Shlomo Maman,Orchot Midbar
Oreach Baolam,Circle,2008,Shlomo Maman,Oreach Baolam,Shlomo Maman,Oreach Baolam
Ori Or,Circle,2006,Roni Siman Tov,Ori Or,Roni Siman Tov,Ori Or
Orianna,Circle,1985,Sefi Aviv,Orianna,Sefi Aviv,"Orianna (Circle, Sefi Aviv)"
Orianna,Circle,1997,Shimon Assor,Orianna,Shimon Assor,"Orianna (Circle, Shimon Assor)"
Orka,Circle,1900,Shlomo Bachar,Orka,Shlomo Bachar,Orka
Orot,Circle,2012,Sagi Azran,Orot,Sagi Azran,Orot
Orot Adumim,Line,2005,Carina Saslavsky; Karina Lambert,Orot Adumim,Carina Saslavsky Karina Lambert,Orot Adumim
Orot Gvohim,Circle,2016,Michael Barzelai,Orot Gvohim,Michael Barzelai,Orot Gvohim
Orot Halev,Circle,2017,Ilai Szpiezak,Orot Halev,Ilai Szpiezak,Orot Halev
Orot shabbat (Shir Shabbat),Circle,2003,Oren Shmuel,Orot shabbat Shir Shabbat,Oren Shmuel,Orot shabbat (Shir Shabbat)
Orot Ve'ashan (Halaila),Circle,2010,Yaron Malihi,Orot Veashan Halaila,Yaron Malihi,Orot Ve'ashan (Halaila)
Ose Li Et Hayom,Circle,2015,Nurit Melamed,Ose Li Et Hayom,Nurit Melamed,Ose Li Et Hayom (Circle)
Ose Li Et Hayom,Partner,2010,Sam (Shmuel) Ashkenazi,Ose Li Et Hayom,Sam Shmuel Ashkenazi,Ose Li Et Hayom (Partner)
Ose Shalom,Circle,2016,Shlomo Maman,Ose Shalom,Shlomo Maman,Ose Shalom
Osef Od Ga'agu'a,Partner,2019,Sharon Elkaslassy,Osef Od Gaagua,Sharon Elkaslassy,Osef Od Ga'agu'a
Osefet Regaim,Partner,2017,Gadi Bitton,Osefet Regaim,Gadi Bitton,Osefet Regaim
Oseh Shalom,Circle,1995,Teme Kernerman,Oseh Shalom,Teme Kernerman,Oseh Shalom
Oseh Shalom (Haose Shalom),Circle,1972,Eli Ronen,Oseh Shalom Haose Shalom,Eli Ronen,Oseh Shalom (Haose Shalom)
Osher,Circle,1992,Shlomo Bachar,Osher,Shlomo Bachar,"Osher (Circle, Shlomo Bachar)"
Osher,Circle,2009,Elad Perl,Osher,Elad Perl,"Osher (Circle, Elad Perl)"
Osher (Osher Ba Rak Im Kashe),Partner,2001,Kobi Michaeli,Osher Osher Ba Rak Im Kashe,Kobi Michaeli,Osher (Osher Ba Rak Im Kashe)
Osher Katan,Circle,2011,Shlomo Maman,Osher Katan,Shlomo Maman,Osher Katan
Oshrat,Circle,2000,Shmulik Gov Ari,Oshrat,Shmulik Gov Ari,Oshrat
Osim Same'ach,Line,1997,Tamar Halperin,Osim Sameach,Tamar Halperin,Osim Same'ach
Osim Shalom,Circle,1994,Avner Naim,Osim Shalom,Avner Naim,Osim Shalom
Otach,Partner,1981,Shlomo Maman,Otach,Shlomo Maman,Otach
Otach Essa,Partner,1998,Avi Perez,Otach Essa,Avi Perez,Otach Essa
Otach Ima,Circle,1991,Israel Yakovee,Otach Ima,Israel Yakovee,Otach Ima
Otach Lanetsach,Partner,2010,Maor Ben-Ami; Dalya Maktobi,Otach Lanetsach,Maor BenAmi Dalya Maktobi,Otach Lanetsach
Otach Letsidi,Partner,2004,Dudu Barzilay,Otach Letsidi,Dudu Barzilay,Otach Letsidi
Otach Ratsiti,Partner,2001,Yoram Sasson,Otach Ratsiti,Yoram Sasson,Otach Ratsiti
Otach Vekafe,Partner,2014,Eli Segal,Otach Vekafe,Eli Segal,Otach Vekafe
Otcha,Partner,1995,Oren Shmuel,Otcha,Oren Shmuel,Otcha
Oto Hamabat,Partner,2010,Moshe Telem,Oto Hamabat,Moshe Telem,Oto Hamabat
Otsar Sheli,Circle,2018,Menashe Perez,Otsar Sheli,Menashe Perez,"Otsar Sheli (Circle, Menashe Perez)"
Otsar Sheli,Circle,2007,Ohad Atia,Otsar Sheli,Ohad Atia,"Otsar Sheli (Circle, Ohad Atia)"
Otsar Sheli (Hakala Melstanbul),Circle,2018,Nurit Melamed,Otsar Sheli Hakala Melstanbul,Nurit Melamed,Otsar Sheli (Hakala Melstanbul)
Overet Muli,Circle,2015,Ofer Alfasi,Overet Muli,Ofer Alfasi,Overet Muli
Overet Orach,Circle,1990,Ami Ben Shushan,Overet Orach,Ami Ben Shushan,Overet Orach
Oy,Partner;Mixer,2015,Mitch Ginsburgh,Oy,Mitch Ginsburgh,Oy
Oy Oy Oy,Line,1999,Tzipi Cohen,Oy Oy Oy,Tzipi Cohen,Oy Oy Oy
Oy Yossel Yossel,Line,1976,Moshiko Halevy,Oy Yossel Yossel,Moshiko Halevy,Oy Yossel Yossel
Oye El Boom,Line,2005,Karina Lambert,Oye El Boom,Karina Lambert,Oye El Boom
Ozan,Line,2010,Dudu Barzilay; Eyal Eliyahu,Ozan,Dudu Barzilay Eyal Eliyahu,Ozan
Ozevet Et Tel Aviv,Circle,2006,Shlomo Maman,Ozevet Et Tel Aviv,Shlomo Maman,Ozevet Et Tel Aviv
Ozi Vezimrat Yah,Circle,1900,Leah Bergstein,Ozi Vezimrat Yah,Leah Bergstein,Ozi Vezimrat Yah
Ozi Vezimrat Yah (Uzi),Circle,1946,Rivka Sturman,Ozi Vezimrat Yah Uzi,Rivka Sturman,Ozi Vezimrat Yah (Uzi)
Ozreni El Chay,Circle,1979,Eliyahu Gamliel,Ozreni El Chay,Eliyahu Gamliel,"Ozreni El Chay (Circle, Eliyahu Gamliel)"
Ozreni El Chay,Circle,1900,Avner Naim,Ozreni El Chay,Avner Naim,"Ozreni El Chay (Circle, Avner Naim)"
Pa Bailar,Line,2013,Orly Setareh,Pa Bailar,Orly Setareh,Pa Bailar
Pa'am,Partner,1999,Shlomo Maman,Paam,Shlomo Maman,Pa'am
Pa'am Achat,Circle,1900,Vytautus Beliajus,Paam Achat,Vytautus Beliajus,Pa'am Achat
Pa'am Achat (Haya Zeh Basadeh),Circle,1948,Rivka Sturman,Paam Achat Haya Zeh Basadeh,Rivka Sturman,Pa'am Achat (Haya Zeh Basadeh)
Pa'am At Bocha (Od Sipur Echad Shel Ahava),Partner,2002,Dado Kraus,Paam At Bocha Od Sipur Echad Shel Ahava,Dado Kraus,Pa'am At Bocha (Od Sipur Echad Shel Ahava)
Pa'am Bachayim (Pes To Mou Ksana),Circle,2006,Israel Shiker,Paam Bachayim Pes To Mou Ksana,Israel Shiker,Pa'am Bachayim (Pes To Mou Ksana)
Pa'am Haiynu,Partner,2005,Moshiko Halevy,Paam Haiynu,Moshiko Halevy,Pa'am Haiynu
Pa'am Hayu Sham Prachim,Circle,1985,Chayim Shiryon,Paam Hayu Sham Prachim,Chayim Shiryon,Pa'am Hayu Sham Prachim
Pa'am Le'ehov,Circle,2013,Orly Shemesh,Paam Leehov,Orly Shemesh,Pa'am Le'ehov
Paam Paam,Partner,2017,Oren Bachar,Paam Paam,Oren Bachar,Paam Paam
"Pa'am Tori, Pa'am Torech",Partner,1993,Yankale Ziv,Paam Tori Paam Torech,Yankale Ziv,"Pa'am Tori, Pa'am Torech (Partner, Yankale Ziv)"
"Pa'am Tori, Pa'am Torech",Partner,1997,Shlomo Maman,Paam Tori Paam Torech,Shlomo Maman,"Pa'am Tori, Pa'am Torech (Partner, Shlomo Maman)"
Pa'amey Aviv,Partner,1984,Yo'av Ashriel,Paamey Aviv,Yoav Ashriel,Pa'amey Aviv
Pa'amey Ha'ava (Pa'amey Ahavat),Circle,1900,Raaya Spivak,Paamey Haava Paamey Ahavat,Raaya Spivak,Pa'amey Ha'ava (Pa'amey Ahavat)
Pa'amey Nirkoda,Circle,1998,Avi Perez,Paamey Nirkoda,Avi Perez,Pa'amey Nirkoda
Pa'amon Zahav,,1992,Yoram Rachmany,Paamon Zahav,Yoram Rachmany,Pa'amon Zahav
Pa'amon Zechuchit (Pa'amon Hazchuchit),Partner,1998,Israel Shiker,Paamon Zechuchit Paamon Hazchuchit,Israel Shiker,Pa'amon Zechuchit (Pa'amon Hazchuchit)
Pa'amonei Habalkan (Rikud Tsoani),Circle,2009,Sagi Azran; Sharon Elkaslassy,Paamonei Habalkan Rikud Tsoani,Sagi Azran Sharon Elkaslassy,Pa'amonei Habalkan (Rikud Tsoani)
Pa'amonei Mizrach,Circle,1998,Shlomo Maman,Paamonei Mizrach,Shlomo Maman,Pa'amonei Mizrach
Pachot Aval Koev,Circle,2008,Nurit Melamed,Pachot Aval Koev,Nurit Melamed,Pachot Aval Koev
Padam Padam,Partner,2008,Ya'ir Harel,Padam Padam,Yair Harel,Padam Padam
Palavra,Partner,2018,Avi Levy,Palavra,Avi Levy,Palavra
Pam Pam (Shiru Lashemesh),Circle,1974,Giora Kadmon,Pam Pam Shiru Lashemesh,Giora Kadmon,Pam Pam (Shiru Lashemesh)
Pamela,Partner,2000,Dudu Barzilay,Pamela,Dudu Barzilay,Pamela
Pana Hageshem,Circle,1953,Yo'av Ashriel,Pana Hageshem,Yoav Ashriel,Pana Hageshem
Panas Bashalechet,Circle,1900,Moshe Cafri,Panas Bashalechet,Moshe Cafri,Panas Bashalechet (Circle)
Panas Bashalechet,Partner,1979,Sefi Aviv,Panas Bashalechet,Sefi Aviv,Panas Bashalechet (Partner)
Panas Echad Barchov,Circle,2014,Tamir Shalev,Panas Echad Barchov,Tamir Shalev,Panas Echad Barchov
Panasey Ha'ir (Panasey Ha'ir Dolkim Adayin),Circle,2004,Eli Ronen,Panasey Hair Panasey Hair Dolkim Adayin,Eli Ronen,Panasey Ha'ir (Panasey Ha'ir Dolkim Adayin)
Panasim,Partner,1990,Shmulik Gov Ari,Panasim,Shmulik Gov Ari,Panasim
Panasim Shuv Dolkim (Laila Tov),Partner,1992,Dede Luski,Panasim Shuv Dolkim Laila Tov,Dede Luski,Panasim Shuv Dolkim (Laila Tov)
Panim El Mul Panim,Partner,1998,Dudu Barzilay,Panim El Mul Panim,Dudu Barzilay,Panim El Mul Panim
Parach Begani Haperach,Partner,1987,Yehuda Emanuel,Parach Begani Haperach,Yehuda Emanuel,Parach Begani Haperach
Parcha Baruach,Circle,1996,Ya'ir Harel,Parcha Baruach,Yair Harel,Parcha Baruach
Parcha Yaldati (Parcha Baruach),Partner,1989,Yehuda Emanuel,Parcha Yaldati Parcha Baruach,Yehuda Emanuel,Parcha Yaldati (Parcha Baruach)
Paris,Circle,2019,Yaron Ben Simhon,Paris,Yaron Ben Simhon,Paris
Parpar,Circle,2012,Shlomo Maman,Parpar,Shlomo Maman,Parpar
Parpar Lauf Rachok,Partner,2008,Eti Sade,Parpar Lauf Rachok,Eti Sade,Parpar Lauf Rachok
Parparim (Omerim),Circle,2000,Gadi Bitton; Itzik Sa'ada,Parparim Omerim,Gadi Bitton Itzik Saada,Parparim (Omerim)
Pas Leyom Echad,Partner,2005,Eli Segal,Pas Leyom Echad,Eli Segal,Pas Leyom Echad
Pashtu Kvassim (Petsach Bezemer),Partner,1953,Yo'av Ashriel,Pashtu Kvassim Petsach Bezemer,Yoav Ashriel,Pashtu Kvassim (Petsach Bezemer)
Pashut Anashim,Circle,2018,Nurit Melamed,Pashut Anashim,Nurit Melamed,Pashut Anashim
Pashut Lihiyot,Circle,2006,Oren Ashkenazi,Pashut Lihiyot,Oren Ashkenazi,Pashut Lihiyot
Pashut Lihiyot Yachad,Circle,2016,Revital Golan,Pashut Lihiyot Yachad,Revital Golan,Pashut Lihiyot Yachad
Pashut Ohev,Partner,2011,Dudu Barzilay,Pashut Ohev,Dudu Barzilay,Pashut Ohev
Pashut Ohev Otach (Lehishtatot Lefa'amim),Partner,1995,Naftaly Kadosh,Pashut Ohev Otach Lehishtatot Lefaamim,Naftaly Kadosh,Pashut Ohev Otach (Lehishtatot Lefa'amim)
Pashut Tichye,Circle,2018,Sharon Elkaslassy,Pashut Tichye,Sharon Elkaslassy,Pashut Tichye
Pata Pata,Line,1978,Shalom Amar,Pata Pata,Shalom Amar,Pata Pata
Patch Dance,Partner,1948,Dvora Lapson,Patch Dance,Dvora Lapson,Patch Dance
Pegate,Line,2009,Ariadna Faerstein,Pegate,Ariadna Faerstein,Pegate
Pegisha Mikrit,Circle,2004,Moshiko Halevy,Pegisha Mikrit,Moshiko Halevy,Pegisha Mikrit
Peima,Circle,2018,Elad Shtamer,Peima,Elad Shtamer,Peima
Pe'imot Halev,Partner,1996,Effi Tirosh,Peimot Halev,Effi Tirosh,Pe'imot Halev
Pele Kachol,Circle,2005,Yaakov Mariyoma,Pele Kachol,Yaakov Mariyoma,Pele Kachol
Peleh Tivi,Circle,2001,Avi Levy,Peleh Tivi,Avi Levy,Peleh Tivi
Perach (Hayiti Began Eden),Partner,2002,Shmulik Gov Ari,Perach Hayiti Began Eden,Shmulik Gov Ari,Perach (Hayiti Began Eden)
Perach Al Hahar,Circle,1993,Tuvia Tishler,Perach Al Hahar,Tuvia Tishler,Perach Al Hahar
Perach Ba'aviv,Partner,2005,Ohad Atia,Perach Baaviv,Ohad Atia,Perach Ba'aviv
Perach Bamidbar,Circle,2014,Gadi Bitton,Perach Bamidbar,Gadi Bitton,Perach Bamidbar (Circle)
Perach Bamidbar,Partner,1988,Morris Amar,Perach Bamidbar,Morris Amar,Perach Bamidbar (Partner)
Perach Bashmama (Perach Bashmamah),Partner,2018,Ohad Atia,Perach Bashmama Perach Bashmamah,Ohad Atia,Perach Bashmama (Perach Bashmamah)
Perach Begani,Partner,1980,Eliyahu Gamliel,Perach Begani,Eliyahu Gamliel,Perach Begani
Perach Halilach,Partner,1979,Shlomo Maman,Perach Halilach,Shlomo Maman,"Perach Halilach (Partner, Shlomo Maman)"
Perach Halilach,Partner,1980,Yo'av Ashriel,Perach Halilach,Yoav Ashriel,"Perach Halilach (Partner, Yo'av Ashriel)"
Perach Harimon,Circle,2017,Ilai Szpiezak,Perach Harimon,Ilai Szpiezak,Perach Harimon
Perach Leili,Partner,2002,Tuvia Tishler,Perach Leili,Tuvia Tishler,Perach Leili
Perach Min Hagan,Partner,2004,Gadi Bitton,Perach Min Hagan,Gadi Bitton,Perach Min Hagan
Perach Miyadech,Partner,1988,Shlomo Maman,Perach Miyadech,Shlomo Maman,Perach Miyadech
Perach Nadir (Perach Bar),Circle,1994,Nir Dor,Perach Nadir Perach Bar,Nir Dor,Perach Nadir (Perach Bar)
Perach Shel Or,Partner,2013,Ya'ir Harel,Perach Shel Or,Yair Harel,Perach Shel Or
Perach Sheli,Partner,2004,Gadi Bitton,Perach Sheli,Gadi Bitton,Perach Sheli
Perach Yayin,Partner,1987,Moshe Eskayo,Perach Yayin,Moshe Eskayo,Perach Yayin
Perach Zahav,Circle,1985,Moshiko Halevy,Perach Zahav,Moshiko Halevy,Perach Zahav
Pesek Zman,Circle,2007,Tzlil Shuker,Pesek Zman,Tzlil Shuker,Pesek Zman
Peter Pan,U,1900, ,Peter Pan, ,Peter Pan
Petra (Nosa'at Lepetra),Circle,1995,Shimon Shuker,Petra Nosaat Lepetra,Shimon Shuker,Petra (Nosa'at Lepetra)
Peugeot 92,Circle,2008,Gadi Bitton,Peugeot 92,Gadi Bitton,Peugeot 92
Phantom Haopera (Fantom Ha'opera),Circle,1995,Israel Shiker,Phantom Haopera Fantom Haopera,Israel Shiker,Phantom Haopera (Fantom Ha'opera)
Piha Patcha Bechochma,Circle,2009,Yossi Azani,Piha Patcha Bechochma,Yossi Azani,Piha Patcha Bechochma
Pikchi Einayich,Circle,1994,Shmulik Gov Ari,Pikchi Einayich,Shmulik Gov Ari,Pikchi Einayich
Piley Tevel,Circle,1900,Dani Dassa,Piley Tevel,Dani Dassa,Piley Tevel
Piley Tevel (Shiveat Pilai Tevel),Circle,1993,Benny Levy,Piley Tevel Shiveat Pilai Tevel,Benny Levy,Piley Tevel (Shiveat Pilai Tevel)
Pina Etslecha Balev,Partner,2017,Yael Twito,Pina Etslecha Balev,Yael Twito,Pina Etslecha Balev
Pirchey Gani,Circle,1987,Mishael Barzilay,Pirchey Gani,Mishael Barzilay,Pirchey Gani
Pitchi Et Hatris,Partner,1985,Avi Perez,Pitchi Et Hatris,Avi Perez,Pitchi Et Hatris
Pitchi Lo Et Libech,Partner,2003,Yoni Carr,Pitchi Lo Et Libech,Yoni Carr,Pitchi Lo Et Libech
Pitchu Et Hasha'ar,U,1900, ,Pitchu Et Hashaar, ,Pitchu Et Hasha'ar
Pitchu Et Kol HaChalonot,Circle,1981,Eli Ronen,Pitchu Et Kol HaChalonot,Eli Ronen,Pitchu Et Kol HaChalonot
Pitchu Shearim,Circle,2003,Moshe Telem,Pitchu Shearim,Moshe Telem,Pitchu Shearim
Pitgam Sini,Line,2011,Ohad Atia; Gadi Bitton,Pitgam Sini,Ohad Atia Gadi Bitton,Pitgam Sini
Pitom,Circle,2015,Gadi Bitton,Pitom,Gadi Bitton,Pitom
"Pitom Achshav, Pitom Hayom",,1979,Fredie Cohen,Pitom Achshav Pitom Hayom,Fredie Cohen,"Pitom Achshav, Pitom Hayom"
Pitom Adam Nolad,Circle,2014,Shmulik Gov Ari,Pitom Adam Nolad,Shmulik Gov Ari,Pitom Adam Nolad
Pitom Ani Same'ach,Circle,1976,Rivka Sturman,Pitom Ani Sameach,Rivka Sturman,Pitom Ani Same'ach
Pitom Aviv (Pitom Nafal Alay Aly Aviv),Partner,1994,Gadi Bitton,Pitom Aviv Pitom Nafal Alay Aly Aviv,Gadi Bitton,Pitom Aviv (Pitom Nafal Alay Aly Aviv)
Pitom Hakol Over (Ga'aguim),Partner,1997,Amnon Amram,Pitom Hakol Over Gaaguim,Amnon Amram,Pitom Hakol Over (Ga'aguim)
Pitom Kam Adam,Circle,1999,Yaron Ben Simhon; Dudu Barzilay,Pitom Kam Adam,Yaron Ben Simhon Dudu Barzilay,Pitom Kam Adam
Pitom Kshelo Bat,Partner,2010,Levi Bargil,Pitom Kshelo Bat,Levi Bargil,Pitom Kshelo Bat
Pitom Matsati Bach,Partner,2000,Avner Naim,Pitom Matsati Bach,Avner Naim,Pitom Matsati Bach
Pitom Nizkeret,Partner,2019,Sharon Elkaslassy,Pitom Nizkeret,Sharon Elkaslassy,Pitom Nizkeret
Pitserika,Circle,2010,Eli Segal,Pitserika,Eli Segal,Pitserika
Piyut,Circle,1998,Gadi Bitton,Piyut,Gadi Bitton,Piyut
Pizmon Chozer,Circle,2013,Victor Gabbay; Rafi Ziv; Elad Shtamer,Pizmon Chozer,Victor Gabbay Rafi Ziv Elad Shtamer,Pizmon Chozer
Pizmon Chozer (Kasach),Circle,1982,Bentzi Tiram,Pizmon Chozer Kasach,Bentzi Tiram,Pizmon Chozer (Kasach)
Pizmon Ha'agudah (Himnon Haguda),Partner,1975,Se'adia Amishai,Pizmon Haagudah Himnon Haguda,Seadia Amishai,Pizmon Ha'agudah (Himnon Haguda)
Pizmon Haohavim,Partner,1992,Shlomo Bachar,Pizmon Haohavim,Shlomo Bachar,Pizmon Haohavim
Pizmon Katan Shel Ahava,Partner,2011,Avi Perez,Pizmon Katan Shel Ahava,Avi Perez,Pizmon Katan Shel Ahava
Plava Tsiganko (Lal)a,Line,2009,Sagi Azran,Plava Tsiganko Lala,Sagi Azran,Plava Tsiganko (Lal)a
Pnei Malach (Yaldati),Circle,1995,Moshe Eskayo,Pnei Malach Yaldati,Moshe Eskayo,Pnei Malach (Yaldati)
Pney Elay,Circle,2008,Avner Naim,Pney Elay,Avner Naim,Pney Elay
Pney Shabbat,Circle,2002,Shmulik Gov Ari,Pney Shabbat,Shmulik Gov Ari,Pney Shabbat
Pnina,Circle,2008,Mali Lipson; Moshe,Pnina,Mali Lipson Moshe,Pnina
Pninim Baneharot,Circle,2009,Yaron Ben Simhon,Pninim Baneharot,Yaron Ben Simhon,Pninim Baneharot
Pniya Bamara'a,Partner,2007,Sharon Elkaslassy,Pniya Bamaraa,Sharon Elkaslassy,Pniya Bamara'a
Pnuya Le'ahava,Partner,2005,Kobi Michaeli,Pnuya Leahava,Kobi Michaeli,Pnuya Le'ahava
Po Beyafo,Circle,2002,Meir Shem Tov,Po Beyafo,Meir Shem Tov,Po Beyafo
Po Co,Line,2017,Michael Barzelai; Ilai Szpiezak,Po Co,Michael Barzelai Ilai Szpiezak,Po Co
Po Kavur Hakelev,Circle,2014,Oren Bachar,Po Kavur Hakelev,Oren Bachar,Po Kavur Hakelev
Po Vasham,Partner,1987,Maurice Perez,Po Vasham,Maurice Perez,Po Vasham
Po Ze Lo Teman,Circle,2020,Rafi Ziv,Po Ze Lo Teman,Rafi Ziv,Po Ze Lo Teman
Poem Levavi,Circle,1900,Dani Dassa,Poem Levavi,Dani Dassa,Poem Levavi
Polka,Partner,1900,Jewish Folk,Polka,Jewish Folk,Polka
Polka Avi,U,1900,Sefi Aviv,Polka Avi,Sefi Aviv,Polka Avi
Polka Galil,U,1900, ,Polka Galil, ,Polka Galil
Poreset Knafayim (Ze Kol Hakesem),Partner,1999,Gadi Bitton,Poreset Knafayim Ze Kol Hakesem,Gadi Bitton,Poreset Knafayim (Ze Kol Hakesem)
Poteach Et Yadecha,Line,2016,Yaron Elfasy,Poteach Et Yadecha,Yaron Elfasy,Poteach Et Yadecha
Pouch,Line;Kids,2020,Chen Shporen; Levi Bargil,Pouch,Chen Shporen Levi Bargil,Pouch
Prachim,Circle,2001,Yoni Carr,Prachim,Yoni Carr,Prachim
Prachim Bakane,Circle,1994,Eli Ronen,Prachim Bakane,Eli Ronen,Prachim Bakane
Prachim Bamidbar,Partner,2017,Sagi Azran,Prachim Bamidbar,Sagi Azran,Prachim Bamidbar
Prachim Bapeh,Circle,2018,Yael Twito,Prachim Bapeh,Yael Twito,Prachim Bapeh
Preidat Malach (Panasey Ha'ir Dolkim Adayin),Circle,1900,Marco Ben Shimon,Preidat Malach Panasey Hair Dolkim Adayin,Marco Ben Shimon,Preidat Malach (Panasey Ha'ir Dolkim Adayin)
Pri Asur,Partner,2001,Meir Amsalam,Pri Asur,Meir Amsalam,Pri Asur
Pri Ganech,Circle,2009,Eli Segal,Pri Ganech,Eli Segal,Pri Ganech
Pri Pa Pa,Circle,2017,Chen Shporen,Pri Pa Pa,Chen Shporen,Pri Pa Pa
Provincial,Line,2018,Michael Barzelai,Provincial,Michael Barzelai,Provincial
Pru Urbu,Circle,2008,Shmulik Gov Ari,Pru Urbu,Shmulik Gov Ari,Pru Urbu
Psanter,Partner,2016,Shlomo Maman,Psanter,Shlomo Maman,Psanter
Ptach Lanu Sha'ar,Circle,2016,Shlomo Maman,Ptach Lanu Shaar,Shlomo Maman,Ptach Lanu Sha'ar
Ptach Libcha,Circle,2015,Nurit Melamed; Gadi Bitton,Ptach Libcha,Nurit Melamed Gadi Bitton,Ptach Libcha
Ptsach Bezemer (Pashtu Kvasim),Circle,1955,Tamar Alyagor,Ptsach Bezemer Pashtu Kvasim,Tamar Alyagor,Ptsach Bezemer (Pashtu Kvasim)
Pump The Jam,Line,2016,Dudu Sapir,Pump The Jam,Dudu Sapir,Pump The Jam
Pundak Ha'ahava (Bepundak Ha'ahava),Partner,1987,Israel Shiker,Pundak Haahava Bepundak Haahava,Israel Shiker,Pundak Ha'ahava (Bepundak Ha'ahava)
