type,choreographer,label
C,Ruth Motes,Shir Roim (Ruth Motes)
C,Meir Shem Tov,Shir Roim (Meir Shem Tov)
,Gil Ophir,Shir Ronu Na
C,Gil Ophir,Shir Same'ach (Gil Ophir)
C,Giora Kadmon,Shir Same'ach (Giora Kadmon)
C,Shmulik Gov Ari,Shir Same'ach (Shmulik Gov Ari)
C,Yo'av Ashriel,Shir Same'ach (Yo'av Ashriel)
C,Amnon Sha'uli,Shir Shabbat (Amnon Sha'uli)
C,Moshe Telem,Shir Shabbat (Moshe Telem)
,Chaim Livneh,Shir Shabbat Teymani
C,Eli Ronen,Shir Shalechet Aduma (Shir Argaman)
C,Israel Shiker,Shir She'af
C,American,Shir Shir (American)
C,Maurice Perez,Shir Shir (Maurice Perez)
C,Shlomo Maman,Shir Siyum (Kvar Hasha'a Meuheret)
P,Yoram Cohen,Shir Stav
C,Avi Levy,Shir Tikva (Shir Hatikva)
C,Rivka Sturman,Shir Todah
C,Gadi Bitton,Shir Utehila
C,Oren Shmuel,Shir Utfila (Balada Lamelech)
C,Shlomo Maman,Shir Zmirot (Adon Hakol)
C,Eli Ronen,Shirat Chayay
P,Tuvia Tishler,Shirat Ha'acordeon
C,Shlomo Maman,Shirat Ha'asavim
C,Nurit Melamed,Shirat Habakashot
C,Sara Kletter,Shirat Hael
C,Nona Malki,Shirat Hanavad
C,Amnon Sha'uli,Shirat Hanoar (Shira Hanoar)
C,Chayim Shiryon,Shirat Hanoded
C,Gadi Bitton,Shirat Hasticker
C,Moshiko Halevy,Shirat Hayam
C,Revital Golan,Shirat Hazamir
C,Oren Ashkenazi,Shirat Oriana
C, ,Shirati
C,Nurit Melamed,Shirey Erets Ahavati
U, ,Shirey Yaldut
C,Shlomo Maman,Shiri
P,Shlomo Maman,Shiri Li
P,Dani Dassa,Shiri Li Achoti (Dani Dassa)
P,Israel Shabtai,Shiri Li Achoti (Israel Shabtai)
C,Amnon Amram,Shiri Li Gitara
C,Sefi Aviv,Shiri Li Kineret (Sefi Aviv)
C,Shlomo Maman,Shiri Li Kineret (Shlomo Maman)
C, ,Shiri Li Nechmedet
C,Eli Ronen,Shiri Li Od
P,Motti Gabi,Shiri Nehederet
C,Marco Ben Shimon,Shirim
C,Yom Tov Ochayon,Shirim Ad Kan
C,Yoram Rachmany,Shirim Ashorer
P,Mike Varon,Shirim Hem Chaverim
C,Elad Shtamer,Shirim Lebeit Avi
C,Yo'av Ashriel,Shiro Shel Aba (Yibaneh Hamikdash)
C,Oren Shmuel,Shiro Shel Shafshaf
C,Eli Ronen,Shiro Shel Tsanchan
C,Benny Levy,Shiru
C,Yonatan Karmon,Shiru Hashir (Yonatan Karmon)
C,Leah Bergstein,Shiru Hashir (Leah Bergstein)
P,Shlomo Bachar,Shiru Ladonai
C,Avner Naim,Shiru La'el
C,Pnina Dickman,Shiru Lamelech
C,Shuki Hofman,Shiru Lapilpel
C,Barry Avidan,Shiru Lehashir Chadash
C,Dani Dassa,Shiru Shir Chadash
C,Niv Joseph,Shiru Shir L’Ahava
P,David Edery,Shiru Shir La'ahava
C,Uri Grafit,Shiru Shir Lashirim
,Rivka Sturman,Shiru Shiru
C,Dede Luski,Shisha Yamim Bara Olam
C,Eyal Ozeri and Eli Segal,Shishi Batsahorayim
C,Itzik Ben Dahan,Shishi Shabat
C,"Mali Lipson, Moshe",Shiur Moledet
P,Dani Dassa,Shivat Piley Olam
C,Yom Tov Ochayon,Shivchey Maoz
C,Tamir Shalev,Shkalim
C,Roberto Haddon,Shkarim (Psemata Yia Mena Lene)
P,Eliyahu Gamliel,Shkeydim Vetsimukim (Pgishah Leh Ein Kets)
L,David Edery,Shki'a
C,Yehuda Emanuel,Shki'a Bamidbar
P,Tuvia Tishler,Shki'a Dromit
C,Tuvia Tishler,Shki'a Vruda (Erev Ironi) (C)
P,Shlomo Maman,Shki'a Vruda (Erev Ironi) (P)
P,Gadi Bitton,Shkufim
C,Nurit Melamed,Shlach Li Koach
C,Nurit Melamed,Shlach Li Mlahac
C,Israel Shiker,Shlal Sharav (Tam HasharaL Hagadol)
C,Shmulik Gov Ari,Shlamim (Et Ma Sheyesh Li)
P,Dror Davidi-Gadi Bitton,Shlemim
C,Shlomo Maman,Shlomit Bona Suka (C)
P,Yoram Rachmany,Shlomit Bona Suka (P)
C,Bonny Piha,Shlosha Halonot
C,Eli Ronen,Shlosha Tranim La'oniya (Mifrasei Tsachav)
P,Meir Shem Tov,Shlosha Yamim
P,Roni Siman Tov,Shloshet Hatshuvot (Zemer Shalosh Hatshuvot)
C,Israel Shiker,Shloshim Batsel
C,Chen Shporen,Shluk Miketsev
C,Avi Levy,Shma
C,Levi Bargil,Shma (Shma Israel)
C,Dudu Barzilay,Shma Bekoli
C,Nona Malki,Shma Ben Yakar
C,Shmulik Gov Ari,Shma Elohai (Keshehalev Koev)
C,Moshiko Halevy,Shma Ha'el
C,Moshiko Halevy,Shma Israel (Moshiko Halevy)
C,Shmulik Gov Ari,Shma Israel (Shmulik Gov Ari)
P,Rivka Sturman,Shma Legeshem (Hineh Geshem Ba)
C,Eli Segal,Shma Yisrael Lashem
C,Israel Yakovee,Shmah Kolenu
c,Sharon Elkaslassy,Shmor Alay (Sharon Elkaslassy)
C,Victor Gabbay,Shmor Alay (Victor Gabbay)
C,Israel Shiker,Shmor Lecha Chalom Katan
C,Oren Halaly,Shmor Li Eli
, ,Shmulke's Nigun
C,Dudu Barzilay,Shmuot
C,Shmulik Gov Ari,Shmuot Tovot
L,Folk,Shmura Indianit
, ,Shnat Tvu'a Chadasha
P,Shlomo Maman,Shnayim
P,Sharon Elkaslassy,Shnayim Baolam
C,Moti Menachem,Shnayim Ochazim Bach
P,Maurice Perez,Shnayim Sheyoshvim
C,Tamir Scherzer,Shnayim Shnayim
C,Shmulik Gov Ari,Shne Chadarim
C,Maurice Perez,Shnei Chalilim (Maurice Perez)
C,Roni Siman Tov,Shnei Chalilim (Roni Siman Tov)
P,David Dassa,Shnei Kochavim
P,Gadi Bitton,Shnei Kolot (Lashir Itach)
P,Gadi Bitton,Shnei Olamot (Gadi Bitton)
P,Levi Bargil,Shnei Olamot (Levi Bargil)
P,Avner Naim,Shnei Olamot (Avner Naim)
C,Israel Yakovee,Shnei Plagim
P,Eli Ronen,Shnei Sakei Sheyna
P,Eliyahu Gamliel,Shnei Shoshanim
P,Michael Barzelai,Shneinu
P,Shlomo Maman,Shneinu Ze Echad
P,Israel Shiker,Shney Tapuchim
P,Eli Lapid,Shneynu Yachdav
C, ,Shokolada
C,Tamir Shalev,Shomer Hachomot
C,Shmulik Gov Ari,Shomer Israel
C,Dudu Barzilay,Shomreni El
C,Israel Shiker,Shorashim (Shorashey)
P,Bentzi Tiram,Shoshan Reichani
C,Eli Segal,Shoshana Shoshana
P,Marco Ben Shimon,Shoshana Yefat Einaim
L,Eyal Eliyahu,Shoshanat Midbar (Desert Rose)
C,Oren Shmuel,Shoshanat Pla'eim
P,Dudu Barzilay,Shoshanat Sfarad
C,Israel Yakovee,Shoshanat Teiman
P,Raaya Spivak,Shoshanat Ya'akov (Raaya Spivak)
P,Ami Evenchaim,Shoshanat Ya'akov (Ami Evenchaim)
P,Yankale Ziv,Shoshanim Atsuvot
P,Chayim Shiryon,Shoshanim Shel Pecham
C,Tuvia Tishler,Shote Hakfar
P,Eli Ronen,Shovach Yonim
C,Levi Bargil,Shover Et Harosh (Shover Tarosh)
P,Rafi Ziv,Shover Shtika
P,Chayim Ochayon,Shoveret Galim
C,Naftaly Kadosh,Shoveret Levavot (C)
P,Yankale Ziv,Shoveret Levavot (P)
P,Moshiko Halevy,Shovevut
P,Dudu Barzilay,Shtayim Balaila
L,Yoram Rachmany,Shtayim Ve'esrim
C,Maurice Perez,Shtey Ahavot
P,Eliyahu Gamliel,Shtey Ahayot
P,Avner Naim,Shtey Alamot (Tsarot Tovot)
U,Amnon Sha'uli,Shtey Eynayich Eleh
P,Yom Tov Ochayon,Shtey Gitarot (Yom Tov Ochayon)
P,Moshe Lichtenstein,Shtey Gitarot (Moshe Lichtenstein)
P,Eli Ronen,Shtey Gitarot (Eli Ronen)
C,Moshe Eskayo,Shtey Yonim
P,Meir Shem Tov,Shtey Zamarot
,Nissim Ben Na'im,Shtikat Hayam
C,Shulamit Rada,Shtreimel
P,Yonatan Karmon,Shtu Adarim (Me'emek Legivah)
CK,Yael Yaakovee,Shu Chilweh
C,Sara Levi Tanai,Shu'alim Ketanim (C)
PMT,Rivka Sturman,Shu'alim Ketanim (PMT)
L,Ira Weisburd,Shuffle Boogie Soul (Honky Tonk)
C,Israel Yakovee,Shufni (Haviv Huvani)
C,Ira Weisburd,Shuj Shuj Zemer
P,Sagi Azran,Shula
C,Avivit Ben Moshe,Shum Davar Chadash
C,Shlomo Maman,Shumbala
C,Israel Yakovee,Shur Dodi
PK,Levi Bargil,Shur Hagkida
C,Yankale Levy,Shuru Habitu Uru
,David Alfassy,Shushan Sagie
C,Avner Naim,Shuti Sfinati (Khe'ehye Gadol)
,Fredie Cohen,Shuti Sirah
P,"Mali Lipson, Moshe",Shuv
,Itzik Sa'ada,Shuv Ani
P,Dror Davidi-Gadi Bitton,Shuv Ani Veat
C,Yuval Ma'ayan,Shuv At Sheli
P,Ariel Coral,Shuv Be’enaich Hayafot
L,Vardit Bar-Nes,Shuv Hadisko Kan
P,Nourit Grinfeld,Shuv Hie Kan
C,Yom Tov Ochayon,Shuv Lashuv
P,Itzik Ben Dahan,Shuv Le'ehov
P,Gila Paz,Shuv Meashenet
,David Alfassy,Shuv Yachdav
P,Yo'av Ashriel,Shuv Yotseh Hazemer
C,Judy Alter,Shuva Elay (Judy Alter)
C,Bentzi Tiram,Shuva Elay (Bentzi Tiram)
C,Victor Gabbay,Shuva Habaita
C,Oren Ashkenazi,Shuva Hashem
P,Sefi Aviv,Shuva Shel Natasha
C,Shlomo Maman,Shuvi Bat Yerushalayim
P,Meir Shem Tov,Shuvi El Beyti
C,Meir Shem Tov,Shuvi Harmonika
C,Moshiko Halevy,"Shuvi Hashulamit (C, Moshiko Halevy)"
C,Shmulik Gov Ari,"Shuvi Hashulamit (C, Shmulik Gov Ari)"
P,Yankale Levy,Shuvi Hashulamit (P)
P,Moti Danino and Eti Sade,Shuvi Layam
C,Tamir Scherzer,Shuvi Leveitech
C,Moshiko Halevy,Shuvi Shuvi
P,Shlomo Maman,Shuvi Yefeyfiya (Shlomo Maman)
P,Avner Naim,Shuvi Yefeyfiya (Avner Naim)
C,Michael Barzelai,Shvatim
C,Avner Naim,Shvil Ba'emek
C,David Edery,Shvil Chadash
P,Shmulik Gov Ari,Shvil Ha'ahava
C,Israel Shiker,Shvil Tapu'ach Hazahav
P,Ilan Swisa,Shvoat Hanetsach
C,Shlomi Mordechai,Shvor Et Hakerach
P,"Ro'i Fridman, Rinat Rozen",Shvu'a
P,Meir Amsalam,Shvu'at Olam
P,Chayim Ochayon,Shvuya Be'ahava
P,Eli Ronen,Si'ach Vradim (Ahava Be'ashan)
L,"Sagi Azran, Doron Valenci",Siasamba (Siamsa)
P,Mike Varon,Siba Lichiyot
P,Shimon Assor,Siba Tova
C,Nurit Melamed,Sibat Hasibot
P,Avi Amsalam,"Siftotayich (Haval, Deli)"
L,Shauli Rosenfeld,Sigal
P,Naftaly Kadosh,Sigaliyot
C,Mike Varon,Sikui Katan
C,"Ariel Coral, Zako Ochayon",Sikui La'Ahava
P,Avi Levy,Sikui Lehitkarev
P,Naftaly Kadosh,Silchi Li
,Victor Gabbay,Silchi Li Halaila
C,Shmulik Gov Ari,Silchi Li Yalda
C,Boaz Cohen,Silsul Israeli
C,Gadi Bitton,Silsulim
PL,"Dudu Barzilay, Eyal Eliyahu",Silverio
P,Shmulik Gov Ari,Sim
C,Marco Ben Shimon,Sim Shalom (Marco Ben Shimon)
C,Yaron Elfasy,Sim Shalom (Yaron Elfasy)
C,"Yaron Malihi, Dudu Barzilay",Sima
C,Avi Perez,Siman She'ani Ohev (Ze Siman)
L,Eliyahu Gamliel,Siman She'ata Tsa'ir (L)
P,Yo'av Ashriel,Siman She'ata Tsa'ir (P)
C,Moshe Telem,Siman Shehachoref Kvar Kan
P,Marco Ben Shimon,Siman Sheod Lo Higanu (Simanim)
C,Yo'av Ashriel,Siman Tov Umazal Tov
P,Shoshana Kopelevitch,Simaney Derech
P,Tamir Shalev,Simaney Hazman
C,Rachel Waitzman,Simanim (C)
P,Marco Ben Shimon,"Simanim (P, Marco Ben Shimon)"
P,Gadi Bitton,"Simanim (P, Gadi Bitton)"
C,Ya'ir Menashe,Simanim Shel Derech
P,Ohad Atia,Simanim Shel Ohavim
C,Boaz Cohen,Simcha (C)
P,Moshe Eskayo,Simcha (P)
C,Shmulik Gov Ari,Simcha Gdola
C,Rafi Ziv,Simcha Gdola (Hamesiba Shel Hachayim)
C,Bonny Piha,Simcha Parsit
C,Eli Segal,Simcha Yam Tichonit
C,Moshe Telem,Simchat Chatanim (Asher Bara)
C,Itzik Sa'ada,Simchat Hachasidim
C,Maurice Perez,Simchat Hahora
C,Menashe Perez,Simchat Hakatsir
P,Motti Elfasy,Simchat Hamachol
C,Rafi Ziv,Simchat Hanigun
C,Rivka Sturman,Simchat He'amel (Hora Simchat He'amel) (Rivka Sturman)
C,Moshe Eskayo,Simchat He'amel (Hora Simchat He'amel) (Moshe Eskayo)
C,Oren Halaly,Simchat Karela
C,Amir Sela,Simchat Klulot
C,Shlomo Maman,Simchat Neurim (C)
P,David Edery,Simchat Neurim (P)
C,Maurice Perez,Simchat Yerushalayim(Lashana Haba'a Biy'reshalaim)
C,Oren Shmuel,Simchat Yomi (Hora)
P,Oren Halaly,Simchati
C,Ya'ir Menashe,Simchi Aniya
C,Moshe Eskayo,"Simchu Na (C, Moshe Eskayo)"
C,Dani Dassa,"Simchu Na (C, Dani Dassa)"
P,Tzvi Fridhaber,Simchu Na (P)
P,Jonathan Gabay,Simchu Na (Hachassida)
C,Israel Shiker,Simeni Kechotam
,Tzipi Cohen,Simi Yadech
C,Tuvia Tishler,Simlat Klulot
P,Marco Ben Shimon,Simlatech Hasegula
P,Yo'av Ashriel,Simlatech Hashzura
C,Motti Elfasy,"Simona Midimona (C, Motti Elfasy)"
C,Meir Shem Tov,"Simona Midimona (C, Meir Shem Tov)"
,Fredie Cohen,Simona Midimona ()
C,Victor Gabbay,Simtat Haohavim
P,Meir Shem Tov,Simtat Haohavim (Elef Yadayim)
U, ,Sinai
C,Or Balaliti,Sinanari
P,Nir Agam,Sinderala (Cinderela)
C,Avi Amsalam,Sinderella (Cinderella) (Avi Amsalam)
C,Ze'ev Benedict,Sinderella (Cinderella) (Ze'ev Benedict)
L,Shlomi Nagarin,Sing Haleluya
C,Nurit Melamed,Sipur Acher
P,Eden Cohen,Sipur Ahava Tsarfati
P,Gadi Bitton,Sipur Baduy
C,Michal Shami,Sipur Chadash (Achshav Hakol Beseder)
C,Rafi Ziv,Sipur Chayai
P,Itzik Ben Dahan,Sipur Machur
P,Tamir Shalev,Sipur Romanti
P,Moti Menachem,Sipur Shehaya
C,Bentzi Tiram,Sipur Shel Ahava (C)
P,Shimon Shuker,Sipur Shel Ahava (P)
P,Sagi Azran,Sipur Yashan
P,Yaron Medan,Sir Duke
C,Moshiko Halevy,Sirta Mosh (Binti Nas)
C,Moshiko Halevy,Sirtaki
C,Moshiko Halevy,Sisler-Amet
C,Jonathan Gabay,"Sisu Et Yerushalayim (C, Jonathan Gabay)"
C,Moshe Eskayo,"Sisu Et Yerushalayim (C, Moshe Eskayo)"
C,David Paletz,"Sisu Et Yerushalayim (C, David Paletz)"
P,Yaacov Eden,Sisu Et Yerushalayim (P)
P,Rivka Sturman,Sisu Vesimchu Besimchat Tora
,Corinne Chochem,Sisu Vesisu
P,Dede Luski,Sivan
C,Yael Twito,Sivuvim
P,Meir Shem Tov,Siyamti Miluim
C,Yankale Levy,Skandal (Ein Li Rega Dal)
L, ,Skip (Playing With The Queen Of Hearts)
C,Nurit Melamed,Slach Lanu
C,Elad Perl,Slach Li
L, ,Slappin Leather* (Footloose)
P,Elad Shtamer,Slicha
P,Shalom Amar,Slichot
PW,Shalom Amar,Slichot-Wh.Chair
P,Eran Bitton,Slihi Li
C,Michael Barzelai,Smachot
C,Moshiko Halevy,Smadar
PL,Raanan Mor,Smooth
L,Yo'av Ashriel,Snoopy (Draging The Line)
C,Yossi Miyara,Sod
P,Nona Malki,Sod Ha'ahava (Historia de un Amor)
P,Shmulik Gov Ari,Sod Hamazalot (Shmulik Gov Ari)
P,Amnon Sha'uli,Sod Hamazalot (Amnon Sha'uli)
C,Shlomo Bachar,Sod Hamazalot (Mazalot)
P,Raanan Mor,Sodcha (Raanan Mor)
P,Israel Shabtai,Sodcha (Israel Shabtai)
PW, ,Sodcha - Wh.Chair
C,Dudu Barzilay,Sodot
P,Daniel Valensy,Sodot Chayai
P,Boaz Cohen,Sodot Hamachar
C,Moshiko Halevy,Sodot Midbar
, ,So'en Bevadi
P,Dede Luski,So'en Bidmi Halel (Hazug)
C,Gadi Bitton,Sof
C,Eli Segal-Hadar Gainor,Sof Ha’ona
C,Israel Shiker,Sof Hakaits
P,Avi Perez,Sof Halaila (Besof Halaila)
C,Gadi Bitton,Sof Ha'olam
C,Jack Ochayon,Sof Ha'olam Smola
P,Raanan Mor,Sof Hasipur
,Motti Elfasy,Sof Kol Sof
C,Moti Ben Ya'akov,Sof Lamilchamot
P,Yehuda Pitchon,Sof Lasipur
c,Balazs Breuer,Sof Shavu'a
P,"Oren Ashkenazi, Lena Ashkenazi",Sof Shavu'a BeParis
P,Chayim Ochayon,Sof Sof
L,Dudu Sapir,Sofia (L)
LK,Dede Luski,Sofia (LK)
P,Eli Ronen,Sofo Shel Ka'its
C,Eran Bitton,Sofrim Et Hakupa
L,Eli Segal,Sokrates Superstar
L,Eyal Eliyahu,Soldi
C,Levi Bargil,Solomot
C,Ira Weisburd,Sonata (Tango to Evora)
L,Sagi Azran,Soniye
C,Rafi Ziv,Soref Od Boker
C,"Dudu Barzilay, Tamir Shalev",Sorefet Rechavot
L,Dede Luski,Soul Man (Ish Neshama)
C,Avi Perez,Sovev Alay
C,Israel Yakovee,Sovev Galgal
P,Zeira,Sovevuni (Zeira)
P,Hapoel Yerushalayim,Sovevuni (Hapoel Yerushalayim)
P,Dani Dassa,Sovevuni (Dani Dassa)
C,Yo'av Ashriel,Sovevuni (Hora Tov)
C,Naftaly Chayit,Sponja
L,Tzipi Cohen,Srufa Alav Lanetsach
L,Chagit Podenski,Srutim
C,Sagi Azran,Stakel Li Ba'einayim
LK,Levi Bar Gil,Stam (LK)
P,Gadi Bitton,Stam (P)
C,Shmulik Gov Ari,Stam Yom Shel Chol
P,Dudu Barzilay,Status Meohav
P,Nir Dor,Stav
P,Gadi Bitton,Stav (Sof Hakayits)
P,Shlomo Maman,Stav Bachalonot
P,Shimon Assor,Stav Israeli
P,Shlomo Maman,Stav Lavan
PW, ,Stav Levan - Wh.Chair
C,Yankale Levy,Stirat Lechi (Yankale Levy)
C,Sefi Aviv,Stirat Lechi (Sefi Aviv)
LK,Levi Bar Gil,Story Shel Festigal
L,Eli Segal,Subeme La Radio
L,Orly Setareh,Suddenly
P,Moshiko Halevy,Suddenly You Love Me
L,Alberto Zirlinger,Suenos
C,David Dassa,Suerte
C,Shmulik Gov Ari,Suf
C,Shlomo Maman,Sufa (C)
P,Victor Gabbay,Sufa (P)
C,"Mali Lipson, Moshe",Sug Shel Ahava
L,Yo'av Ashriel,Sugar Sugar
C,Israel Yakovee,Sukar
C,Breuer Balazs,Sukariot Koftzot
C,Moshe Telem,Sukat Shalom
C,Jonathan Gabay,Sulam Ya'akov (Malach Misulam Ya'akov)
P,Avi Levy,Sultana
L,Yo'av Ashriel,"Sultana (Telephone , Tartar)"
L,Bonny Piha,Sunflower
P,"Mishael Barzilay, Yehuda Emanuel",Sunny
LK,Levi Bargil,Super Straiyka
L,Irit Sasson,Supercalifragilistic
C,Israel Shiker,Suru Meni
C,Gadi Bitton,Sus Me'ets
C,Yankale Levy,Sus Verochvo
C,Avi Amsalam,Susati Ve'ani (Shir Haeglon)
C,Avi Amsalam,Susi (Preida)
kc,Oren Ashkenazi,Susim Ratsim
PL,Aviv Ben Ishay,Swing De Boom
P,Rivka Sturman,Synkopa
P,Yo'av Ashriel,Ta'am Haman
C,Shlomo Maman,Ta'am Menta
p,Shlomo Maman,Ta'amini Be'atsmech
P,Avner Naim,Ta'ane La
C,Oren Shmuel,Ta'anugot (Fania)
P,"Beber Shushan, Amnon Amram",Ta'atu'ey Laila
C,Moti Elkis,Taba (C)
,Yossi Abuhav,Taba ()
P,Shlomo Maman,Taba'at Hazahav
C,Moti Kotsir,Tabakira
P,Eli Segal,Tabiti Bi
L,"Hayley Miller, Orly Setareh",Taboo (Taboo Israeli)
C,Arthur Lerer,Tachabil Tirbach
C,Eli Segal,Tachat Ets Ha'ahava
c,Nurit Melamed,Tachat Shme Yam Tichon
P,Avi Perez,Tachlom Tachlom
P,Yaron Malihi,Tachshevi
C,Shlomo Maman,Tachshov Tov Yehiye Tov
c,Sagi Azran,Tachtonim Vegufi'ot
P,Rafi Ziv,Tachzeri
C,Yossi Miyara,Tachzeri Kvar Habaiyta
C,Elad Shtamer,Tadlik Et Haesh
C,Tamir Shalev,Tadliki Ta'or
C,Moshe Tawily,Tafasta La Talev (Tefasta Li Et Halev)
P,Kobi Michaeli,Tagid Et Ze
p,Avi Perez,Tagid Li
P,Elad Shtamer,Tagid Li Achshav
P,Michal Pellach,Tagid Li Lama
C,Victoria Halsman Serwaczak-Luana Halpern,Tagidi Ken (3rd)
P,"Mishel Cohen, Gil",Tagidi Ki
P,Israel Shiker,Tagidi Li
C,Israel Shiker,Tagidi Li Isha
P,Avi Perez,Tagidi Li Od Pa'am
P,Gadi Bitton,Tagidi Lo
p,Ofer Elfasi,Tagidi Salachti
C,Levi Bar Gil,Tagidi Shetov (C)
U,Levi Bargil,Tagidi Shetov (U)
C,Ilan Benedict,Tagidi Yalla
C,Gadi Bitton,Tagidu La
P,Yaron Ben Simhon,Tahargi Oti
C,Shlomo Maman,Takshiv Li Achi
C,Anat Matiash,Takshivi Li
P,Naftaly Kadosh,Tal
C,Shlomo Maman,Tal Al Pirche Hazman
,Peri Shachaf,Tal Mehar Gilad
L,Moshiko Halevy,Tala
P,Shlomo Maman,Talat Dakat
P,Yehuda Emanuel,Tali Tali
C,Nurit Melamed,Taltalim
C,Benny Levy,Taltalim (Taltalim Shchorim)
P,Eli Ronen,Taltelei Zahav
C,Eran Bitton,Tam Velo Nishlam (C)
P,Shlomo Maman,Tam Velo Nishlam (P)
P,Moshiko Halevy,Tama Temima
L,"Etga, Hila",Tamagutci
C,Shlomo Bachar,Tamar
P,Moshiko Halevy,Tamar Haktana
C,Shmulik Gov Ari,Tamaron
p,Sagi Azran,Tamid Achake
P,Gadi Bitton,Tamid Ahava
P,Israel Shabtai,Tamid Bishmayim
P,Meir Shem Tov,Tamid Bishnayim
C,Israel Shiker,Tamid Chalamti
P,"Kobi Michaeli, Yaron Ben Simhon",Tamid Elayich
C,Dudu Barzilay,Tamid Elecha
C,Ilan Benedict,Tamid Haben Shel Aba
P,Kobi Michaeli,Tamid Iti
C,Gabo Mirkin,Tamid Lakum
C,Avi Perez,Tamid Mitga'agat
C,Shlomo Bachar,Tamid Ola Hamangina (Shlomo Bachar)
C,Shmulik Gov Ari,Tamid Ola Hamangina (Shmulik Gov Ari)
C,Eli Ronen,Tamid Otam
P,Ilan Benedict,Tamid Tishari
C,Shmulik Gov Ari,Tanake
P,Mike Varon,Tango Achshav (Lash'charchoret) (Mike Varon)
P,Roni Siman Tov,Tango Achshav (Lash'charchoret) (Roni Siman Tov)
P,Roni Siman Tov,Tango Ahava
P,Tuvia Tishler,Tango Dudaim
P,Avi Perez,Tango Elisheva
P,Roz Tzimmerman,Tango Kachol
P,Israel Shiker,Tango La'aviv (Ulai Od Lo Nigmar)
P,Moshe Tawily,Tango Lasfina (Shut Al Gal)
P,David Ben David,Tango Lashecharhoret
P,Israel Shiker,Tango Lashecharhoret (Sharchoret Mehanahal)
P,Peri Shachaf,Tango Lerina
P,Marco Ben Shimon,Tango Leshnayim
P,Tuvia Tishler,Tango Polani (Ta Ostatnia Niedziela)
P,Dede Luski,Tango Sheleg Yored (Sheleg Yored )
P,Avi Perez,Tango Tel Aviv
P,Avi Perez,Tango Toranut
P,Meir Shem Tov,Tango Yaffa Yarkoni
P,"M. Tibi, S. Yasdi","Tapuchim Utamarim (M. Tibi, S. Yasdi)"
P,Itzik Ben Dahan,Tapuchim Utamarim (Itzik Ben Dahan)
P,David Dassa,Tapuchim Utamarim (David Dassa)
P,Eliyahu Gamliel,Tarantella (Israeli Tarantella)
P,Sefi Aviv,Tarantella Galil (Leil Galil)
P,Avi Perez,Tarantella Israelit
C,Nir Dan,Tarantella Yekev
C,Dede Luski,Tarbuka (Darbuka) (Dede Luski)
C,Shmulik Gov Ari,Tarbuka (Darbuka) (Shmulik Gov Ari)
C,Moshiko Halevy,Targil Teimani
C,Nona Malki,Tari Lo Chamsa (Chamsa)
L,Ilai Szpiezak,Tarimu
C,Ilan Benedict,Tarimu Tayadayim
C,Moshiko Halevy,Tarkan
C,"Yaron Ben Simhon, Gadi Bitton",Tarmil
C,Shmulik Gov Ari,Tash Tash
P,Levi Bargil,Tashir Beleilotecha
P,Moti Ben Ya'akov,Tashiri Li Makom
C,Shlomo Bachar,Tashkif
C,Oren Ashkenazi,Tashlich
C,Nurit Melamed,Tasimi Simla Chadasha
C,"Oren Ashkenazi, Eli Segal",Tate
C,Or Balaliti,Tavas Hazahav
P,Shlomo Maman,Tavim Shel Ahava
P,Noam Ben Lulu,Tavini
C,Nurit Melamed,Tavo
C,Israel Yakovee,Tawshich
L,Karina Lambert,Tazizi (Taziz Et Haiashban)
L,Eli Segal,Tazizu
C,"Bonny Piha, Yoram Sasson",Tchaye (Tchaye Shukariya)
C,Moshiko Halevy,Tcherkes
P,Yo'av Ashriel,Tchol Hamitpahat
C,Shmulik Gov Ari,Tchopi (Chopi)
L,"Dudu Barzilay, Eyal Eliyahu",Te Ka Lali
PL,Alberto Zirlinger,Te Mando Flores
PL,"Carina Saslavsky, Renato Huarte",Te Vas a Arrepentir
C,Oren Ashkenazi,Techaychi
P,Victor Gabbay,Tefani Li Ktsat Makom
c,Andre Schor-Levy Bargil,Tefargen
C,Boaz Cohen,Tefila
P,Shlomi Mordechai,Tegale Lelola
C,Rafi Ziv,Tegali Li
C,Gadi Bitton,Tegali Li Lama
P,Ma'or Gabbay,Tehi Malach
C,Gadi Bitton,Tehila
L,Chilik Carmeli,Tekilla
C,Israel Shabtai,"Tel Aviv (C, Israel Shabtai)"
C,Shlomo Bachar,"Tel Aviv (C, Shlomo Bachar)"
P,Gadi Bitton,Tel Aviv (P)
,Maurice Perez,Tel Aviv ()
C,Avi Levy,Tel Aviv (Ya Habibi)
C,Avivi Gavriel,Tel Aviv Balaila
P,"Ayelet, Dror Bukai","Tel Aviv Kmo Paris (Ayelet, Dror Bukai)"
P,Naftaly Kadosh,Tel Aviv Kmo Paris (Naftaly Kadosh)
P,Tamir David-Eran Biton,Tel Aviv Ze Ani Veat
C,Moshiko Halevy,Tel Giborim
P,Shlomo Maman,Telavi Oti
C,Edo Israely,Telech Kapara Alai
P,"Eli Segal, Sefi Aviv",Telem Ohavim (Betelem Ohavim)
C,Moshiko Halevy,Temani Moderni
C,Avner Naim,Temaniada
L,Sharon Elkaslassy,Temperatura
L,Sagi Azran,Temptations (Pituim)
C,"Dana Danino, Dana Monet",Ten
c,Nurit Melamed,Ten Banu Shalom
C,Yo'av Ashriel,Ten Katef
C,Shmulik Gov Ari,Ten La
